TANGGAL,SAMARINDA,TOTAL,ISMAN,RS
21/03/2020,1,1,,
22/03/2020,0,1,,
23/03/2020,0,1,,
24/03/2020,0,1,,
25/03/2020,0,1,,
26/03/2020,0,1,,
27/03/2020,0,1,,
28/03/2020,0,1,,
29/03/2020,0,1,,
30/03/2020,0,1,,
31/03/2020,0,1,,
01/04/2020,0,1,,
02/04/2020,0,1,,
03/04/2020,1,2,,
04/04/2020,1,3,,
05/04/2020,1,4,,
06/04/2020,0,4,,
07/04/2020,0,4,,
08/04/2020,0,4,,
09/04/2020,0,4,,
10/04/2020,1,5,,
11/04/2020,0,5,,
12/04/2020,0,5,,
13/04/2020,0,5,,
14/04/2020,0,5,,
15/04/2020,0,5,,
16/04/2020,0,5,,
17/04/2020,0,5,,
18/04/2020,0,5,,
19/04/2020,2,7,,
20/04/2020,0,7,,
21/04/2020,2,9,,
22/04/2020,0,9,,
23/04/2020,1,10,,
24/04/2020,0,10,,
25/04/2020,0,10,,
26/04/2020,5,15,,
27/04/2020,0,15,,
28/04/2020,1,16,,
29/04/2020,3,19,,
30/04/2020,0,19,,
01/05/2020,0,19,,
02/05/2020,6,25,,
03/05/2020,0,25,,
04/05/2020,0,25,,
05/05/2020,0,25,,
06/05/2020,0,25,,
07/05/2020,0,25,,
08/05/2020,5,30,,
09/05/2020,0,30,,
10/05/2020,0,30,,
11/0/2020,3,33,,
12/05/2020,0,33,,
13/05/2020,0,33,,
14/05/2020,0,33,,
15/05/2020,1,34,,
16/05/2020,0,34,,
17/05/2020,0,34,,
18/05/2020,0,34,,
19/05/2020,2,36,,
20/05/2020,0,36,,
21/05/2020,2,38,,
22/05/2020,0,38,,
23/05/2020,2,40,,
24/05/2020,0,40,,
25/05/2020,0,40,,
26/05/2020,0,40,,
27/05/2020,1,41,,
28/05/2020,0,41,,
29/05/2020,0,41,,
30/05/2020,2,43,,
31/05/2020,0,43,,
01/06/2020,0,43,,
02/06/2020,0,43,,
03/06/2020,8,51,,
04/06/2020,0,51,,
05/06/2020,0,51,,
06/06/2020,0,51,,
07/06/2020,0,51,,
08/06/2020,0,51,,
09/06/2020,5,56,,
10/06/2020,0,56,,
11/06/2020,0,56,,
12/06/2020,3,59,,
13/06/2020,0,59,,
14/06/2020,0,59,,
15/06/2020,0,59,,
16/06/2020,3,62,,
17/06/2020,1,63,,
18/06/2020,1,64,,
19/06/2020,1,65,,
20/06/2020,0,65,,
21/06/2020,0,65,,
22/06/2020,0,65,,
23/06/2020,0,65,,
24/06/2020,0,65,,
25/06/2020,0,65,,
26/06/2020,0,65,,
27/06/2020,1,66,,
28/06/2020,2,68,,
29/06/2020,0,68,,
30/06/2020,0,68,,
01/07/2020,0,68,,
02/07/2020,0,68,,
03/07/2020,1,69,,
04/07/2020,1,70,,
05/07/2020,0,70,,
06/07/2020,0,70,,
07/07/2020,1,71,,
08/07/2020,0,71,,
09/07/2020,2,73,,
10/07/2020,5,78,,
11/07/2020,7,85,,
12/07/2020,2,87,,
13/07/2020,0,87,,
14/07/2020,19,106,,
15/07/2020,17,123,,
16/07/2020,10,133,,
17/07/2020,18,151,,
18/07/2020,9,160,,
19/07/2020,5,165,,
20/07/2020,4,169,,
21/07/2020,7,176,,
22/07/2020,8,184,,
23/07/2020,14,198,,
24/07/2020,23,221,,
25/07/2020,16,237,,
26/07/2020,7,244,,
27/07/2020,0,244,,
28/07/2020,12,256,,
29/07/2020,17,273,,
30/07/2020,11,284,,
31/07/2020,19,303,,
01/08/2020,1,304,,
